Date,Day,DayName,Month,MonthNo,Quarter,QuarterNo,Year,YearMonth
2023-01-01,1,Sunday,Jan,1,Q1,1,2023,2023-01
2023-01-02,2,Monday,Jan,1,Q1,1,2023,2023-01
2023-01-03,3,Tuesday,Jan,1,Q1,1,2023,2023-01
2023-01-04,4,Wednesday,Jan,1,Q1,1,2023,2023-01
2023-01-05,5,Thursday,Jan,1,Q1,1,2023,2023-01
2023-01-06,6,Friday,Jan,1,Q1,1,2023,2023-01
2023-01-07,7,Saturday,Jan,1,Q1,1,2023,2023-01
2023-01-08,8,Sunday,Jan,1,Q1,1,2023,2023-01
2023-01-09,9,Monday,Jan,1,Q1,1,2023,2023-01
2023-01-10,10,Tuesday,Jan,1,Q1,1,2023,2023-01
2023-01-11,11,Wednesday,Jan,1,Q1,1,2023,2023-01
2023-01-12,12,Thursday,Jan,1,Q1,1,2023,2023-01
2023-01-13,13,Friday,Jan,1,Q1,1,2023,2023-01
2023-01-14,14,Saturday,Jan,1,Q1,1,2023,2023-01
2023-01-15,15,Sunday,Jan,1,Q1,1,2023,2023-01
2023-01-16,16,Monday,Jan,1,Q1,1,2023,2023-01
2023-01-17,17,Tuesday,Jan,1,Q1,1,2023,2023-01
2023-01-18,18,Wednesday,Jan,1,Q1,1,2023,2023-01
2023-01-19,19,Thursday,Jan,1,Q1,1,2023,2023-01
2023-01-20,20,Friday,Jan,1,Q1,1,2023,2023-01
2023-01-21,21,Saturday,Jan,1,Q1,1,2023,2023-01
2023-01-22,22,Sunday,Jan,1,Q1,1,2023,2023-01
2023-01-23,23,Monday,Jan,1,Q1,1,2023,2023-01
2023-01-24,24,Tuesday,Jan,1,Q1,1,2023,2023-01
2023-01-25,25,Wednesday,Jan,1,Q1,1,2023,2023-01
2023-01-26,26,Thursday,Jan,1,Q1,1,2023,2023-01
2023-01-27,27,Friday,Jan,1,Q1,1,2023,2023-01
2023-01-28,28,Saturday,Jan,1,Q1,1,2023,2023-01
2023-01-29,29,Sunday,Jan,1,Q1,1,2023,2023-01
2023-01-30,30,Monday,Jan,1,Q1,1,2023,2023-01
2023-01-31,31,Tuesday,Jan,1,Q1,1,2023,2023-01
2023-02-01,1,Wednesday,Feb,2,Q1,1,2023,2023-02
2023-02-02,2,Thursday,Feb,2,Q1,1,2023,2023-02
2023-02-03,3,Friday,Feb,2,Q1,1,2023,2023-02
2023-02-04,4,Saturday,Feb,2,Q1,1,2023,2023-02
2023-02-05,5,Sunday,Feb,2,Q1,1,2023,2023-02
2023-02-06,6,Monday,Feb,2,Q1,1,2023,2023-02
