SaleID,WatchID,Date,Quantity,Sale Price (USD),Revenue (USD),Region,Retailer Type,Customer Segment
794,3,2023-01-01,1,12685.94,12685.94,Europe,Authorized Dealer,First-time Buyer
1043,5,2023-01-01,1,32668.62,32668.62,Europe,Authorized Dealer,Collector
1186,5,2023-01-01,1,33013.4,33013.4,Europe,Boutique Store,Collector
769,3,2023-01-01,1,12152.39,12152.39,India,Authorized Dealer,Investor
47,1,2023-01-01,1,10710.81,10710.81,India,Online Exclusive,First-time Buyer
186,7,2023-01-02,1,28341.31,28341.31,India,Online Exclusive,Collector
841,8,2023-01-02,1,34898.79,34898.79,Europe,Boutique Store,Collector
68,1,2023-01-03,1,10744.15,10744.15,Europe,Authorized Dealer,Gift Purchase
536,7,2023-01-03,1,27811.5,27811.5,Europe,Authorized Dealer,Collector
1238,7,2023-01-03,1,29028.36,29028.36,North America,Authorized Dealer,Collector
1126,8,2023-01-03,1,35109.93,35109.93,Europe,Boutique Store,First-time Buyer
753,7,2023-01-04,1,28077.61,28077.61,Asia Pacific,Online Exclusive,Investor
1070,9,2023-01-04,1,235588.21,235588.21,Europe,Authorized Dealer,First-time Buyer
742,9,2023-01-04,1,230981.06,230981.06,Asia Pacific,Authorized Dealer,Gift Purchase
250,3,2023-01-05,1,12580.16,12580.16,Asia Pacific,Boutique Store,Collector
329,1,2023-01-05,1,10646.51,10646.51,North America,Boutique Store,First-time Buyer
31,6,2023-01-06,1,38757.8,38757.8,Middle East,Boutique Store,Collector
683,3,2023-01-06,1,13361.8,13361.8,Asia Pacific,Boutique Store,Collector
650,3,2023-01-07,1,12658.67,12658.67,Middle East,Boutique Store,Collector
509,6,2023-01-07,1,38048.24,38048.24,India,Authorized Dealer,First-time Buyer
485,7,2023-01-08,1,28533.93,28533.93,India,Auction House,First-time Buyer
1377,8,2023-01-08,1,36375.26,36375.26,Asia Pacific,Authorized Dealer,Collector
754,7,2023-01-08,1,26887.36,26887.36,Asia Pacific,Boutique Store,First-time Buyer
1187,5,2023-01-09,1,34056.32,34056.32,Europe,Boutique Store,First-time Buyer
1023,4,2023-01-09,1,43807.07,43807.07,North America,Authorized Dealer,First-time Buyer
854,7,2023-01-09,1,27689.02,27689.02,India,Authorized Dealer,Investor
1394,2,2023-01-09,1,14984.46,14984.46,India,Boutique Store,Gift Purchase
288,7,2023-01-10,1,28419.38,28419.38,Asia Pacific,Online Exclusive,Investor
604,7,2023-01-10,1,28534.76,28534.76,Middle East,Boutique Store,Gift Purchase
362,3,2023-01-10,1,13095.49,13095.49,Asia Pacific,Boutique Store,Collector
1690,8,2023-01-10,1,37574.04,37574.04,India,Boutique Store,Collector
1715,10,2023-01-10,1,263900.26,263900.26,Europe,Online Exclusive,Collector
924,2,2023-01-10,1,15532.03,15532.03,North America,Auction House,First-time Buyer
890,9,2023-01-11,1,222173.35,222173.35,Europe,Boutique Store,Investor
1034,2,2023-01-11,1,14800.01,14800.01,Asia Pacific,Authorized Dealer,Collector
206,2,2023-01-11,1,15362.99,15362.99,India,Authorized Dealer,Collector
203,3,2023-01-11,1,12142.43,12142.43,Europe,Auction House,Collector
410,4,2023-01-11,1,43618.75,43618.75,Europe,Boutique Store,First-time Buyer
